2008,4,1,1,29,1,1,A13,1,5,1,28,2,1
2008,4,1,2,29,1,1,A16,1,6,1,33,2,1
2008,4,1,3,29,1,2,B4,10,2,1,52,1,1
2008,4,1,4,29,1,2,B17,6,6,2,38,2,1
2008,4,1,5,29,1,2,B8,4,3,2,52,1,1
2008,4,1,6,29,1,3,C56,6,1,2,57,1,4
2008,4,1,7,29,1,3,C57,5,1,2,33,2,4
2008,4,1,8,29,1,4,P67,9,5,1,38,1,4
2008,4,1,9,29,1,4,P82,6,4,2,48,1,5
2008,4,1,1,29,2,2,B31,9,5,1,57,1,2
2008,4,1,2,29,2,2,B21,12,1,1,67,1,2
2008,4,1,3,29,2,2,B24,11,2,1,57,1,2
2008,4,1,4,29,2,2,B27,2,3,1,57,1,2
2008,4,1,5,29,2,1,A10,3,4,1,38,2,1
2008,4,1,6,29,2,1,A10,3,4,1,38,2,1
2008,4,1,7,29,2,2,B27,2,3,1,57,1,2
2008,4,1,8,29,2,4,P1,3,1,1,38,1,1
2008,4,1,9,29,2,4,P34,9,6,2,48,1,2
2008,4,1,10,29,2,4,P33,9,5,1,43,1,2
2008,4,1,1,21,3,2,B17,6,6,2,38,2,1
2008,4,1,2,21,3,3,C4,4,2,1,48,1,1
2008,4,1,3,21,3,3,C7,13,3,1,48,1,1
2008,4,1,4,21,3,3,C10,9,4,2,28,2,1
2008,4,1,5,21,3,3,C17,14,6,1,48,1,1
2008,4,1,6,21,3,4,P77,7,2,1,43,1,5
2008,4,1,1,21,4,1,A34,2,6,1,38,2,2
2008,4,1,2,21,4,1,A37,2,1,1,62,1,3
2008,4,1,3,21,4,3,C4,4,2,1,48,1,1
2008,4,1,4,21,4,3,C25,2,3,1,33,2,2
2008,4,1,1,9,5,3,C21,14,1,1,57,1,2
2008,4,1,1,9,6,3,C7,13,3,1,48,1,1
2008,4,1,2,9,6,3,C15,6,5,1,33,2,1
2008,4,1,3,9,6,3,C53,14,6,1,38,2,3
2008,4,1,4,9,6,2,B17,6,6,2,38,2,1
2008,4,1,5,9,6,2,B26,13,3,1,57,1,2
2008,4,1,1,29,7,1,A11,3,4,1,62,1,1
2008,4,1,2,29,7,3,C5,11,2,1,48,1,1
2008,4,1,3,29,7,4,P60,14,2,1,28,2,4
2008,4,1,4,29,7,4,P56,2,1,1,33,2,4
2008,4,1,5,29,7,4,P55,14,1,2,33,2,4
2008,4,1,6,29,7,4,P48,9,4,2,33,2,3
2008,4,1,7,29,7,4,P50,6,5,2,33,2,3
2008,4,1,8,29,7,4,P42,6,2,2,28,2,3
2008,4,1,9,29,7,4,P23,6,2,2,28,2,2
2008,4,1,10,29,7,4,P1,3,1,1,38,1,1
2008,4,1,11,29,7,2,B4,10,2,1,52,1,1
2008,4,1,1,9,8,3,C49,4,5,2,26,2,3
2008,4,1,2,9,8,2,B23,7,2,1,38,2,2
2008,4,1,3,9,8,3,C5,11,2,1,48,1,1
2008,4,1,4,9,8,3,C19,12,1,1,48,1,2
2008,4,1,5,9,8,3,C34,7,6,1,48,1,2
2008,4,1,6,9,8,3,C40,14,2,2,28,2,3
2008,4,1,7,9,8,3,C50,9,5,2,20,2,3
2008,4,1,8,9,8,3,C42,7,2,1,28,2,3
2008,4,1,9,9,8,2,B24,11,2,1,57,1,2
2008,4,1,1,29,9,1,A18,4,6,1,38,2,1
2008,4,1,2,29,9,1,A1,8,1,1,28,2,1
2008,4,1,3,29,9,2,B26,13,3,1,57,1,2
2008,4,1,1,16,10,1,A1,8,1,1,28,2,1
2008,4,1,2,16,10,2,B1,4,1,1,57,1,1
2008,4,1,3,16,10,2,B4,10,2,1,52,1,1
2008,4,1,4,16,10,2,B16,12,6,1,52,1,1
2008,4,1,5,16,10,2,B17,6,6,2,38,2,1
2008,4,1,1,9,11,1,A3,3,1,1,72,1,1
2008,4,1,1,29,12,2,B4,10,2,1,52,1,1
2008,4,1,2,29,12,2,B3,12,1,1,52,1,1
2008,4,1,3,29,12,2,B3,12,1,1,52,1,1
2008,4,1,4,29,12,2,B30,9,4,1,57,1,2
2008,4,1,5,29,12,2,B27,2,3,1,57,1,2
2008,4,1,6,29,12,3,C17,14,6,1,48,1,1
2008,4,1,7,29,12,4,P16,7,6,1,33,2,1
2008,4,1,1,38,13,1,A1,8,1,1,28,2,1
2008,4,1,2,38,13,1,A2,3,1,1,43,2,1
2008,4,1,3,38,13,1,A5,3,2,1,43,2,1
2008,4,1,1,9,14,1,A41,4,2,1,43,2,3
2008,4,1,1,21,15,1,A1,8,1,1,28,2,1
2008,4,1,2,21,15,1,A2,3,1,1,43,2,1
2008,4,1,3,21,15,1,A5,3,2,1,43,2,1
2008,4,1,4,21,15,2,B1,4,1,1,57,1,1
2008,4,1,5,21,15,2,B2,3,1,2,57,1,1
2008,4,1,6,21,15,2,B3,12,1,1,52,1,1
2008,4,1,7,21,15,2,B13,12,5,2,62,1,1
2008,4,1,8,21,15,2,B15,9,5,1,38,2,1
2008,4,1,9,21,15,2,B16,12,6,1,52,1,1
2008,4,1,10,21,15,2,B17,6,6,2,38,2,1
2008,4,1,11,21,15,2,B9,1,3,1,48,2,1
2008,4,1,12,21,15,2,B20,8,1,1,43,2,2
2008,4,1,13,21,15,2,B21,12,1,1,67,1,2
2008,4,1,14,21,15,2,B23,7,2,1,38,2,2
2008,4,1,15,21,15,2,B25,6,3,1,38,2,2
2008,4,1,16,21,15,2,B26,13,3,1,57,1,2
2008,4,1,17,21,15,2,B33,6,5,2,33,2,2
2008,4,1,18,21,15,2,B34,2,6,1,48,2,2
2008,4,1,19,21,15,3,C2,12,1,1,43,1,1
2008,4,1,20,21,15,3,C5,11,2,1,48,1,1
2008,4,1,21,21,15,3,C33,14,5,1,48,1,2
2008,4,1,22,21,15,3,C35,9,6,1,50,1,2
2008,4,1,23,21,15,3,C55,13,1,1,48,1,4
2008,4,1,24,21,15,3,C56,6,1,2,57,1,4
2008,4,1,25,21,15,3,C59,5,2,2,52,1,4
2008,4,1,1,29,16,4,P61,1,3,2,28,2,4
2008,4,1,2,29,16,4,P62,12,3,2,33,2,4
2008,4,1,1,9,17,3,C7,13,3,1,48,1,1
2008,4,1,2,9,17,3,C57,5,1,2,33,2,4
2008,4,1,3,9,17,1,A6,3,2,1,43,2,1
2008,4,1,4,9,17,3,C47,13,4,2,18,2,3
2008,4,1,5,9,17,2,B26,13,3,1,57,1,2
2008,4,1,6,9,17,2,B33,6,5,2,33,2,2
2008,4,1,7,9,17,2,B32,6,5,1,38,2,2
2008,4,1,1,9,18,1,A17,2,6,1,62,1,1
2008,4,1,2,9,18,1,A17,2,6,1,62,1,1
2008,4,1,3,9,18,1,A2,3,1,1,43,2,1
2008,4,1,4,9,18,1,A1,8,1,1,28,2,1
2008,4,1,5,9,18,1,A7,3,3,1,43,2,1
2008,4,1,6,9,18,1,A8,3,3,1,62,1,1
2008,4,1,7,9,18,1,A9,3,3,1,82,1,1
2008,4,1,8,9,18,1,A20,2,1,2,38,2,2
2008,4,1,9,9,18,1,A34,2,6,1,38,2,2
2008,4,1,10,9,18,1,A32,2,5,1,38,2,2
2008,4,1,11,9,18,3,C7,13,3,1,48,1,1
2008,4,1,1,29,19,1,A10,3,4,1,38,2,1
2008,4,1,2,29,19,3,C11,7,4,1,33,2,1
2008,4,1,3,29,19,3,C5,11,2,1,48,1,1
2008,4,1,4,29,19,3,C22,11,2,2,43,1,2
2008,4,1,5,29,19,4,P12,4,4,1,33,2,1
2008,4,1,1,29,20,1,A4,3,2,2,38,2,1
2008,4,1,2,29,20,1,A23,6,2,2,33,2,2
2008,4,1,3,29,20,4,P1,3,1,1,38,1,1
2008,4,1,1,29,21,4,P12,4,4,1,33,2,1
2008,4,1,2,29,21,2,B12,2,4,1,38,2,1
2008,4,1,3,29,21,2,B10,2,4,1,67,1,1
2008,4,1,4,29,21,2,B15,9,5,1,38,2,1
2008,4,1,5,29,21,3,C14,9,5,1,23,2,1
2008,4,1,6,29,21,3,C5,11,2,1,48,1,1
2008,4,1,7,29,21,4,P1,3,1,1,38,1,1
2008,4,1,1,9,22,1,A12,2,4,1,38,2,1
2008,4,1,2,9,22,1,A10,3,4,1,38,2,1
2008,4,1,3,9,22,1,A31,6,5,2,62,1,2
2008,4,1,4,9,22,1,A20,2,1,2,38,2,2
2008,4,1,1,29,23,1,A15,14,5,2,33,2,1
2008,4,1,2,29,23,2,B27,2,3,1,57,1,2
2008,4,1,3,29,23,4,P56,2,1,1,33,2,4
2008,4,1,1,29,24,2,B1,4,1,1,57,1,1
2008,4,1,2,29,24,2,B7,6,3,1,38,2,1
2008,4,1,3,29,24,2,B4,10,2,1,52,1,1
2008,4,1,4,29,24,2,B32,6,5,1,38,2,2
2008,4,1,5,29,24,3,C15,6,5,1,33,2,1
2008,4,1,6,29,24,4,P1,3,1,1,38,1,1
2008,4,1,1,9,25,2,B17,6,6,2,38,2,1
2008,4,1,2,9,25,3,C7,13,3,1,48,1,1
2008,4,1,1,29,26,1,A11,3,4,1,62,1,1
2008,4,1,2,29,26,1,A10,3,4,1,38,2,1
2008,4,1,1,9,27,2,B2,3,1,2,57,1,1
2008,4,1,2,9,27,1,A4,3,2,2,38,2,1
2008,4,1,3,9,27,3,C2,12,1,1,43,1,1
2008,4,1,4,9,27,3,C8,2,3,2,48,1,1
2008,4,1,5,9,27,3,C18,9,6,1,48,1,1
2008,4,1,1,29,28,1,A6,3,2,1,43,2,1
2008,4,1,2,29,28,1,A15,14,5,2,33,2,1
2008,4,1,3,29,28,1,A10,3,4,1,38,2,1
2008,4,1,4,29,28,3,C7,13,3,1,48,1,1
2008,4,1,5,29,28,4,P2,3,1,1,28,2,1
2008,4,1,6,29,28,4,P10,4,4,2,65,1,1
2008,4,1,1,29,29,1,A11,3,4,1,62,1,1
2008,4,1,2,29,29,1,A1,8,1,1,28,2,1
2008,4,1,3,29,29,1,A7,3,3,1,43,2,1
2008,4,1,1,29,30,2,B7,6,3,1,38,2,1
2008,4,1,2,29,30,2,B9,1,3,1,48,2,1
2008,4,1,3,29,30,3,C26,14,3,1,28,2,2
2008,4,1,4,29,30,3,C19,12,1,1,48,1,2
2008,4,1,5,29,30,3,C31,12,5,1,33,2,2
